id,area,suggestion,rationale,priority
impl-001,key-generation,"Implement deterministic traversal from rootLabels and childLabels with visited-set semantics","Required to derive canonical keys from nodesByLabel DAG reliably",high
impl-002,key-generation,"Use keyGeneration delimiter and from policy as the only key build mechanism","Prevents drift between schema intent and generated keys",high
impl-003,registry-resolution,"Resolve generatorCapabilities[*].keySchema against keySchemaRegistry before generation","Ensures capability runs with an explicit versioned schema",high
impl-004,meta-filtering,"Compile metaArgsValidation command and apply it to entry metaArgs when scopeFilter is present","Enables restrictive generation scope without hardcoding logic",medium
impl-005,config-validation,"Validate config-key.cue sections against config-key.schema.cue before generation","Fails early on malformed input shape",high
impl-006,key-coverage,"Compare derived expected keys by kind with config-key.cue keys and report missing and unexpected keys","Captures schema/data divergence early",high
impl-007,section-validation,"Validate command sections in validations against supportedCommandSections","Keeps command namespaces controlled across versions",medium
impl-008,target-routing,"Select generators by target and supportsNodeKinds and keep unknown target as hard error","Prevents silent no-op or wrong output mapping",high
impl-009,versioning,"Introduce new keySchemaRegistry id when semantics change and keep older ids immutable","Supports safe evolution and backward compatibility",high
impl-010,diagnostics,"Emit diagnostics with stable IDs for schema, config, and generation stages","Improves automation and troubleshooting reliability",medium
impl-011,i18n-key-naming,"Adopt camelCase for ARB keys and generated Dart API compatibility","Aligns with Flutter AppLocalizations naming conventions",high
impl-012,i18n-key-naming,"Use a stable feature prefix for every key (for example auth, checkout, settings)","Improves searchability and avoids cross-feature key collisions",high
impl-013,i18n-key-naming,"Prefer semantic intent suffixes such as Title Label Button Error DialogBody","Clarifies UI role without encoding fragile layout position",medium
impl-014,i18n-key-naming,"Ban generic shared keys like saveButton in favor of feature-scoped keys","Reduces ambiguity and accidental reuse across unrelated contexts",high
impl-015,i18n-key-naming,"Treat key renames as schema migrations and preserve stability across copy tweaks","Keys should survive wording and minor UI updates",high
impl-016,i18n-key-naming,"Avoid strict positional naming templates; keep structure loose but consistent","Prevents artificial verbose keys and supports real-world complexity",medium
impl-017,i18n-key-metadata,"Store strict structural metadata outside the key string (ARB metadata or external config)","Keeps keys readable while preserving machine-usable structure",medium
impl-018,i18n-key-review,"Add a naming lint check that enforces prefix and generic-key denylist rules","Automates consistency and prevents regressions",medium
impl-019,cli-contract,"Publish supported CLI commands in registry metadata and fail unknown command invocation","Makes CLI capabilities explicit and versioned with the spec",high
impl-020,linting,"Fail lint when validation command sections are outside supportedCommandSections","Converts section governance from convention into an enforceable rule",high
impl-021,artifact-pattern,"Validate artifactPattern placeholders against an allowed token set and required-by-target policy","Prevents invalid output path templates and target-specific omissions",high
impl-022,graph-integrity,"Raise errors for graph cycles and generated key collisions during key derivation","Ensures deterministic key generation from nodesByLabel",high
impl-023,translation-coverage,"Require each i18n entry to provide all supportedLanguages when translationPolicy demands it","Keeps localized output complete and consistent",high
